CÓDIGO;NOMBRE DEL COLOR;TIPO DE PINTURA;BASE 1;BASE 2;BASE 3;BASE 4;BASE 5;BASE 6;BASE 7;BASE 8;BASE 9;BASE 10;BASE 11;BASE 12;BASE 13;BASE 14;BASE 15;BASE 16;BASE 17
AZUL CLARO;SKY-1;DUCO;144;1;0,1;3;10;10;;;;;;;;;;;
BEIGE OSCURO;AN5;DUCO;72;78;8;4;20;;;;;;;;;;;;
AZUL VIOLETA;SKY-2;DUCO;36;12;8;7;9;80;;;;;;;;;;;
BEIGE ARENA;NT-NOBILE TRAMA;DUCO;111;33;3;5;2;0,4;;;;;;;;;;;
BEIGE FRESNO ANDINO;FRESNO  AND;DUCO;140;2;24;;;;;;;;;;;;;;
VINO METALICO BASE P/ VINO;8724  SS;DUCO;160;40;70;90;60;;;;;;;;;;;;
GRIS METALICO BASE;1G3;DUCO;82;20;20;6;8;1;4;;;;;;;;;;
BLANCO BASE P/ ZHJ;ZHJ;DUCO;148,2;1,1;1,1;0,3;1,7;;;;;;;;;;;;
AZUL BASE METALICO;FORD;DUCO;110;20;58;11;8;1;;;;;;;;;;;
BLANCO BASE P/ QAB;QAB;DUCO;157,5;0,4;0,1;0,3;1;;;;;;;;;;;;
BLANCO HIELO MELANINA;CENIZA;DUCO;150;2;2;9;;;;;;;;;;;;;
GREYISH GREEN MET;6K6;DUCO;82;9;24;25;3;3;2;3;;;;;;;;;
BLANCO BASE P/ 070;070-TOY;DUCO;158;1,2;0,1;0,3;5,8;;;;;;;;;;;;
AMARILLO NARANJA;CERESO;DUCO;60;3;6;80;7;;;;;;;;;;;;
BEIGE ARENA;ORINOCO;DUCO;130;8;1;2;8;8;;;;;;;;;;;
GRIS ALUMINIO BASE;1B9;DUCO;121;1;6,6;0,6;0,6;15;;;;;;;;;;;
BEIGE FRESNO ;FRESNOO;DUCO;150;1;7;;;;;;;;;;;;;;
ALUMINIO BASE;168-TOY;DUCO;110;23;3;30;6;;;;;;;;;;;;
BLANCO BASE P/ QM1;QM1;DUCO;156;0,2;0,2;;;;;;;;;;;;;;
MARRON OSCURO;EVANO;DUCO;30;30;5;5;22;60;;;;;;;;;;;
AZUL METALICO BASE P/ RAQ;RAQ;DUCO;120;5;50;6;90;150;;;;;;;;;;;
GRIS BASE P/ KNG;KNG;DUCO;110;23;3;30;6;7,5;;;;;;;;;;;
AZUL FIE Ó AL. SEGUROS;FIE;DUCO;580;140;50;;;;;;;;;;;;;;
BEIGE OSCURO;NEVRASCA;DUCO;25;12;2;19;80;18;;;;;;;;;;;
GRIS BASE METALICO;K21;DUCO;97,5;15;1,5;20;4,5;4,5;;;;;;;;;;;
GRIS METALICO P/ 2704;2704  VL;DUCO;115;20;3;5;3;1;;;;;;;;;;;
BEIGE ARENA LION;WALNUT;DUCO;47;14;59;1;24;4;12;;;;;;;;;;
GRIS CHASIS VOLVO;FHVL-8;DUCO;25;0,6;15;38;54;;;;;;;;;;;;
BEIGE ARENA;AMANTEA;DUCO;120;35;2;5;;;;;;;;;;;;;
BEIGE CREMA;NOGERATAR;DUCO;60;75;1,5;4,5;;;;;;;;;;;;;
BEIGE CLARO ROJISO;MARANTA;DUCO;139;0,8;3;1,4;5,4;1,6;;;;;;;;;;;
BEIGE LUNAR;LUNAR;DUCO;116;2;1,5;5,5;32;;;;;;;;;;;;
AZUL TIGO;TIGO;DUCO;1560;300;1500;;;;;;;;;;;;;;
VERDE METALICO;VERDE;SER;560;5;169;;;;;;;;;;;;;;
CARBALHO MUNIQUE;CM CARBALHO MUNIQUE;DUCO;48;37;29;12;23;2;;;;;;;;;;;
MARRON TABLERO;TABLERO;DUCO;46;31;15;2;13;4;35;;;;;;;;;;
BEIGE PERLA;FLAMINGO;DUCO;66;22;47;6;7;1;;;;;;;;;;;
